,score,metrics,experiment
0,0.9825424052857578,AUROC,0
1,0.9988268598097473,Accuracy,0
2,0.9999234068627451,Recall,0
3,0.9989032850438686,Precision,0
4,0.9994130856384608,F1 score,0
5,0.9999806320942638,AUPR,0
0,0.9812213221044231,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.99997608560071,AUPR,1
0,0.9077132851687186,AUROC,2
1,0.9988523628573615,Accuracy,2
2,0.9999489379084967,Recall,2
3,0.998903313014869,Precision,2
4,0.9994258519718795,F1 score,2
5,0.9998931280725829,AUPR,2
0,0.9812046972374222,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999789224479072,AUPR,3
0,0.930345072864417,AUROC,4
1,0.9982912958098493,Accuracy,4
2,0.9993872549019608,Recall,4
3,0.9989026973230919,Precision,4
4,0.9991449173632825,F1 score,4
5,0.9999196510189563,AUPR,4
